Id,Title,Zip,Town,Price,Surface,NumberOfRooms,Description
7965843,Penthouse,1200,Woluwe-Saint-Lambert,1475000,278,5,Superbe penthouse neuf de 278m² et terrasse de 213m²
7086353,Penthouse,1200,Woluwe-Saint-Lambert,1475000,278,5,Superbe penthouse neuf de 278m² et terrasse de 213m²
8263060,Appartement,1933,Sterrebeek,655000,159,3,Magnifique appartement 3 chambres au Golf
8185366,Appartement,1140,Evere,347000,136,3,entre le parc de Roodebeek et la place Meiser
8192017,"""Leopold Views - Leopold - projet de 48 unités",1140,Evere,,43,3,"A proximité immédiate de l'OTAN, venez découvrir « Leopold V"
8184516,Penthouse,1140,Evere,476000,156,3,Penthouse 3ch Exceptionnelle vue panoramique
8191956,"""Leopold Views - Geneva S - projet de 50 unités",1140,Evere,,36,3,"A proximité immédiate de l'OTAN, venez découvrir « Leopold V"
8264934,Appartement,1140,Evere,219000,100,3,SOUS OPTION Penthouse 3 chambres avec terrasse
8223411,"""Le Colonel"" - projet de 37 unités",1140,Evere,,66,3,à la lisière de Woluwe-Saint-Lambert
8084984,Appartement,1140,Evere,209000,85,3,*** SOUS OPTION *** Agréable appartement 3 chambres - terras
7947902,RESIDENCES EVERGATE - projet de 116 unités,1140,Evere,,41,3,"Evere | Studios, appartements 1-2-3 ch. & penthouses"
8120362,Penthouse,1140,Evere,476000,156,3,Très beau penthouse 3 chambres
8120361,Penthouse,1140,Evere,476000,156,3,Penthouse 3 chambres avec une belle terrasse!
8017623,Triplex,1140,Evere,345000,150,3,TRIPLEX A EVERE
7192838,Appartement,1140,Evere,299500,111,3,Spacieux appartement 3 chambres
7423279,projet de 2 unités,1140,Bruxelles,,123,3,Projet  ALEGRIA  -  LIVRAISON  IMMEDIATE
8294152,Le Colonel - projet de 37 unités,1140,Evere,,67,3,Nouveau projet !
8252582,RESIDENCE OPALE - projet - projet de 22 unités,1140,Evere,,70,3,Résidence Opale - projet de 22 untités
8248407,Penthouse,1140,Evere,399000,109,3,LANCEMENT DE LA COMMERCIALISATION. Idéalement située dans une ...
6769192,projet de 201 unités,1140,Evere,,37,3,"Les prix mentionnes ci-dessous sont frais inclus (TVA, droits ..."
8042141,Rez-de-chaussée,1140,Evere,439000,132,3,LANCEMENT DE LA COMMERCIALISATION. Idéalement située dans une ...
8217687,Duplex,1040,Etterbeek,530000,160,4,Splendide appartement duplex penthouse 4 chambres rénové-EU
8003882,Penthouse,1040,Etterbeek,532000,120,3,dans un petit immeuble en bordure du Quartier Européen
8183597,Duplex,1040,Etterbeek,995000,358,5,MERODE EXCEPTIONNEL DUPLEX 350 M²
8296246,Penthouse,1040,Etterbeek,725000,230,4,Penthouse 4 chambres en duplex - 2 terrasses
8245269,Appartement,1040,Etterbeek,575000,124,3,Magnifique appartement 3 chambres avec terrasse
8185217,Appartement,1040,Etterbeek,1150000,325,3,Appartement d'exception - Montgomery
8182773,Appartement,1040,Etterbeek,1150000,325,3,"""Les Viviers"" : magnifique appartement de 325m² au 3 ième ét"
8182941,Appartement,1040,Etterbeek,995000,325,3,Appartement d'exception proche de Montgomery
8182775,Appartement,1040,Etterbeek,995000,325,3,"""Les Viviers"" : magnifique appartement de 325m² au 1er étage"
8250830,Rez-de-chaussée,1040,Etterbeek,479000,109,3,Gerlache 67A Rez
8246843,Rez-de-chaussée,1040,Etterbeek,495000,102,3,Moissonneurs 36A
8191767,"""The Nest"" - projet de 39 unités",1040,Etterbeek,,43,3,"En plein coeur d'Etterbeek, découvrez le projet ""The Nest"""
8117334,Appartement,1040,Bruxelles,499000,130,3,Très bel appartement 2ch terrasse + ch bonne
7930184,Appartement,1040,Etterbeek,990000,212,4,Etterbeek I Montgomery
7945025,Penthouse,1040,Etterbeek,750000,303,5,Vue incroyable sur le Cinquantenaire
8030315,Appartement,1040,Etterbeek,525000,135,3,Appartement 3 ch - Montgomery
8118199,Appartement,1040,Etterbeek,695000,240,3,Appartement au Cinquantenaire
8244443,Appartement,1040,Etterbeek,575000,130,3,MYIMMO IXELLES vous invite à découvrir ce superbe appartemen
8051541,Loft,1040,Etterbeek,695000,223,3,"Au rez-de-chaussée d’un immeuble entièrement rénové, au coeur ..."
8118197,Duplex,1040,Etterbeek,995000,350,5,Duplex de 350m2 proche cinquantenaire
7993222,Appartement,1040,Etterbeek,460000,111,3,Metropolis 7.30
7575044,Duplex,1040,Etterbeek,698000,5,5,Duplex+jardin+garage+studio+appart.
8094125,Appartement,1040,Etterbeek,480000,140,3,ARDEA - APPARTEMENT 3 CHAMBRES
8308112,Appartement,1050,Ixelles,570000,221,5,Splendide appartement 4 chambres + Studio
8304912,KING CHARLES - projet de 32 unités,1050,Ixelles,,64,3,TROUVEZ L'APPARTEMENT QUI FERA BATTRE VOTRE COEUR ...
8295677,Appartement,1050,Ixelles,515000,155,3,LUXEMBOURG - MAGNIFIQUE APPARTEMENT 3 CHAMBRES + TERRASSE
8216149,Appartement,1050,Ixelles,365000,110,3,Benoit-0471/66 13 23-Appt 3Ch -2sdb110 m²+gar & cave
8284906,Appartement,1050,Ixelles,389000,111,3,EU - MAGNIFIQUE APPARTEMENT 3 CHAMBRES + TERRASSE
8129574,Appartement,1050,Ixelles,695000,220,4,LOUISE/ ESPACE SOLEIL CALME - IMMEUBLE DE STYLE ART DECO
7677775,Appartement,1050,Ixelles,840000,180,4,Place Brugmann-Appart. rare au dernier étage
8267693,Penthouse,1050,Ixelles,849000,340,5,VISITE VIRTUELLE - LUXUEUX PENTHOUSE AU PANORAMA SPECTACULAI
7903667,Penthouse,1050,Ixelles,850000,340,5,VISITE VIRTUELLE - LUXUEUX PENTHOUSE AU PANORAMA SPECTACULAI
8144128,Appartement,1050,Ixelles,880000,240,4,ABBAYE DE LA CAMBRE: SUPERBE APPARTEMENT 4 CHAMBRES
8298899,Penthouse,1050,Ixelles,910000,171,3,Duplex penthouse neuf 3 ch. - Sablon
8216938,Loft,1050,Ixelles,745000,310,4,Rue de la Longue Haie - Appartement style loft 4 chambres
8009163,Appartement,1050,Ixelles,695000,259,5,"Colombie, spacieux appartement 5 ch avec 3 terrasses"
8021426,Penthouse,1050,Ixelles,750000,150,3,Penthouse 2 ch avec terrasse panoramique et garages
7912364,Appartement,1050,Ixelles,820000,180,4,Pl. Brugmann superbe appartement +/-180 m² - 4ch
7753831,Appartement,1050,Ixelles,820000,190,4,Pl. Brugmann - 4 chambres
7924277,Appartement,1050,Ixelles,850000,275,4,"Louise/Châtelain - superbe appartement +/- 275m², cave, 2 ch"
8038494,Penthouse,1050,Bruxelles,1090000,255,4,Penthouse sur la prestigieuse av. Roosevelt
8169872,Appartement,1050,Ixelles,1240000,230,5,Louise - Châtelain: Penthouse avec 120m² de terrasses
7975540,Appartement,1050,Ixelles,620000,138,3,"entre la place Fernand Cocq, l'avenue Louise et la place Sté"
7975538,Appartement,1050,Ixelles,850000,152,3,"entre la place Fernand Cocq, l'avenue Louise et la place Sté"
8150820,Appartement,1050,Bruxelles-Quartier,500000,180,4,Magnifique et spacieux appartement 4 chambres Chatelain
7569047,Appartement,1050,Ixelles,754000,128,3,Appartement neuf 3 ch + terrasse de 41m²
7569045,Penthouse,1050,Ixelles,1450000,172,3,Penthouse neuf 3 ch - Quartier Louise
8306811,Appartement,1050,Ixelles,350000,120,3,Proximité Bois de la Cambre bel appartement 3 chambres
8285729,Appartement,1050,Ixelles,525000,160,3,MOLIERE û Superbe appartement 3 chambres + bureau
8247309,Appartement,1050,Ixelles,600000,200,3,Châtelain/Stéphanie - Bel appartement luxueux 3 chambres
8240294,Appartement,1050,Ixelles,720000,179,4,INFOS & VISITE 7/7 SUPERBE DUPLEX PENTHOUSE MAISON DE MAITRE
8114157,Appartement,1050,Ixelles,745000,280,4,LOUISE/STEPHANIE: appartement style loft de +/- 280m²
8235512,ELYSEE - projet de 6 unités,1050,Ixelles,,98,3,UN PROJET AU COEUR DE LA CAPITALE !
8184522,Appartement,1050,Ixelles,630000,145,3,LOUISE - Intérieur d'ilot. Sérénité.
8281898,Appartement,1050,Ixelles,1450000,213,3,Appartement neuf 4 ch.  213m + 41m de terrasse
7983077,Appartement,1050,Ixelles,1450000,213,3,entre l'Abbaye de la Cambre et la place Flageys
8003888,Penthouse,1050,Ixelles,4100000,383,5,à proximité immédiate des Etangs d'Ixelles
8298831,KING CHARLES - Ixelles - projet de 51 unités,1050,Ixelles,,56,3,"KING CHARLES û Chaussée de Charleroi, nouvelle promotion hau"
8010733,Appartement,1050,Ixelles,520000,155,4,APPARTEMENT 3-4 CHAMBRES
8244562,Appartement,1050,Ixelles,695000,173,4,Guy d’Arezzo : Lumineux appartement 4-chambres
7912366,Appartement,1050,Ixelles,695000,200,3,Bel appartement coté du Bois de la Cambre
8217199,Appartement,1050,BRUXELLES,759000,210,3,A 50 m de la Place Stéphanie
7685123,Appartement,1050,Ixelles,820000,190,4,Sur la place Brugmann dans immeuble de grand caractère
8187740,Penthouse,1050,Ixelles,1540000,171,3,à proximité immédiate des Etangs d'Ixelles
8267438,Appartement,1050,Ixelles,1290000,162,3,TOISON D'OR - Appartement exceptionnel 3ch. + terrasse.
8173796,Penthouse,1050,Ixelles,748400,126,3,Superbe penthouse !! A VISITER !
8238072,Penthouse,1050,Ixelles,773000,113,3,Incroyable penthouse !
7849712,Appartement,1050,Ixelles,670000,185,3,Quartier Roosevelt. Très bel appartement 185m² + terrasses e
7993449,Appartement,1050,Ixelles,790000,175,3,Très beau duplex 3ch-Quartier Lepoutre
7930177,Appartement,1050,Ixelles,1090000,181,3,Bruxelles I Avenue Louise
7939090,Appartement,1050,Ixelles,850000,152,3,"Appartement, signé Corbiau, 2 chambres et terrasse"
7939086,Appartement,1050,Ixelles,850000,150,3,"Appartement, signé Corbiau, 2 chambres et terrasse"
7184927,Queen 1839 - projet de 39 unités,1050,Ixelles,,37,4,"Projet Neuf terminé haut de gamme entre Flagey, Louise, Plac"
7832321,Le Toison d'Or - projet de 8 unités,1050,Ixelles,,171,4,Le Toison d'Or
8234278,"""Cond'Or"" - projet de 78 unités",1050,Ixelles,,49,3,Cond'Or Residence
8157943,Appartement,1050,Ixelles,445000,130,3,Appartement avec superbe terrasse
8193183,Appartement,1050,Bruxelles-Quartier,680000,235,3,"Avenue Emile De Mot, face à l'Abbaye de la Cambre, au 1er étage ..."
